year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1938,NHL,CHI,,0,,48,12,28,8,,32,0.67,,,91,132,361,7.5,,,,,,1.9,2.75
1938,NHL,DET,SF,1,,48,18,24,6,,42,0.88,,,107,128,242,5.0,,,,,,2.23,2.67
1938,NHL,MTL,QF,1,,48,15,24,9,,39,0.81,,,115,146,288,6.0,,,,,,2.4,3.04
1938,NHL,NYA,QF,1,,48,17,21,10,,44,0.92,,,119,157,284,5.9,,,,,,2.48,3.27
1938,NHL,NYR,SF,1,,48,26,16,6,,58,1.21,,,149,105,387,8.1,,,,,,3.1,2.19
1938,NHL,TOR,F,1,,48,19,20,9,,47,0.98,,,114,107,372,7.8,,,,,,2.38,2.23
1939,NHL,BOS,SF,1,,48,31,12,5,,67,1.40,,,170,98,330,6.9,,,,,,3.54,2.04
1939,NHL,CHI,QF,1,,48,23,19,6,,52,1.08,,,112,120,349,7.3,,,,,,2.33,2.5
1939,NHL,DET,SF,1,,48,16,26,6,,38,0.79,,,90,126,250,5.2,,,,,,1.88,2.62
1939,NHL,MTL,,0,,48,10,33,5,,25,0.52,,,90,167,322,6.7,,,,,,1.88,3.48
1939,NHL,NYA,QF,1,,48,15,29,4,,34,0.71,,,106,140,236,4.9,,,,,,2.21,2.92
1939,NHL,NYR,SC,1,,48,27,11,10,,64,1.33,,,136,77,510,10.6,,,,,,2.83,1.6
1939,NHL,TOR,F,1,,48,25,17,6,,56,1.17,,,134,110,474,9.9,,,,,,2.79,2.29
1940,NHL,BOS,SC,1,,48,27,8,13,,67,1.40,,,168,102,246,5.1,,,,,,3.5,2.12
1940,NHL,CHI,SF,1,,48,16,25,7,,39,0.81,,,112,139,335,7.0,,,,,,2.33,2.9
1940,NHL,DET,F,1,,48,21,16,11,,53,1.10,,,112,102,337,7.0,,,,,,2.33,2.12
1940,NHL,MTL,QF,1,,48,16,26,6,,38,0.79,,,121,147,461,9.6,,,,,,2.52,3.06
1940,NHL,NYA,,0,,48,8,29,11,,27,0.56,,,99,186,231,4.8,,,,,,2.06,3.88
1940,NHL,NYR,QF,1,,48,21,19,8,,50,1.04,,,143,125,356,7.4,,,,,,2.98,2.6
1940,NHL,TOR,SF,1,,48,28,14,6,,62,1.29,,,145,99,306,6.4,,,,,,3.02,2.06
1941,NHL,BKN,,0,,48,16,29,3,,35,0.73,,,133,175,427,8.9,,,,,,2.77,3.65
1941,NHL,BOS,SF,1,,48,25,17,6,,56,1.17,,,160,118,339,7.1,,,,,,3.33,2.46
1941,NHL,CHI,QF,1,,48,22,23,3,,47,0.98,,,145,155,329,6.9,,,,,,3.02,3.23
1941,NHL,DET,F,1,,48,19,25,4,,42,0.88,,,140,147,440,9.2,,,,,,2.92,3.06
1941,NHL,MTL,QF,1,,48,18,27,3,,39,0.81,,,134,173,482,10.0,,,,,,2.79,3.6
1941,NHL,NYR,SF,1,,48,29,17,2,,60,1.25,,,177,143,390,8.1,,,,,,3.69,2.98
1941,NHL,TOR,SC,1,,48,27,18,3,,57,1.19,,,158,136,341,7.1,,,,,,3.29,2.83
1942,NHL,BOS,F,1,,50,24,17,9,,57,1.14,,,195,176,354,7.1,,,,,,3.9,3.52
1942,NHL,CHI,,0,,50,17,18,15,,49,0.98,,,179,180,353,7.1,,,,,,3.58,3.6
1942,NHL,DET,SC,1,,50,25,14,11,,61,1.22,,,169,124,371,7.4,,,,,,3.38,2.48
1942,NHL,MTL,SF,1,,50,19,19,12,,50,1.00,,,181,191,318,6.4,,,,,,3.62,3.82
1942,NHL,NYR,,0,,50,11,31,8,,30,0.60,,,161,253,352,7.0,,,,,,3.22,5.06
1942,NHL,TOR,SF,1,,50,22,19,9,,53,1.06,,,198,159,421,8.4,,,,,,3.96,3.18
1943,NHL,BOS,,0,,50,19,26,5,,43,0.86,,,223,268,225,4.5,,,,,,4.46,5.36
1943,NHL,CHI,F,1,,50,22,23,5,,49,0.98,,,178,187,220,4.4,,,,,,3.56,3.74
1943,NHL,DET,SF,1,,50,26,18,6,,58,1.16,,,214,177,356,7.1,,,,,,4.28,3.54
1943,NHL,MTL,SC,1,,50,38,5,7,,83,1.66,,,234,109,557,11.1,,,,,,4.68,2.18
1943,NHL,NYR,,0,,50,6,39,5,,17,0.34,,,162,310,253,5.1,,,,,,3.24,6.2
1943,NHL,TOR,SF,1,,50,23,23,4,,50,1.00,,,214,174,293,5.9,,,,,,4.28,3.48
1944,NHL,BOS,SF,1,,50,16,30,4,,36,0.72,,,179,219,295,5.9,,,,,,3.58,4.38
1944,NHL,CHI,,0,,50,13,30,7,,33,0.66,,,141,194,250,5.0,,,,,,2.82,3.88
1944,NHL,DET,F,1,,50,31,14,5,,67,1.34,,,218,161,285,5.7,,,,,,4.36,3.22
1944,NHL,MTL,SF,1,,50,38,8,4,,80,1.60,,,228,121,426,8.5,,,,,,4.56,2.42
1944,NHL,NYR,,0,,50,11,29,10,,32,0.64,,,154,247,315,6.3,,,,,,3.08,4.94
1944,NHL,TOR,SC,1,,50,24,22,4,,52,1.04,,,183,161,337,6.7,,,,,,3.66,3.22
1945,NHL,BOS,F,1,,50,24,18,8,,56,1.12,,,167,156,273,5.5,,,,,,3.34,3.12
