,Year,LeagueID,TeamID,Playoff,MadePlayoff,Unnamed,Games Played,Wins,Losses,Ties,Overtime_Losses,Total_Points,Points_Per_Game,Shootout_Wins,Shootout_Losses,Goals_For,Goals_Against,Penalty_Minutes,Penalty_Minutes_Per_Game,Power_Play_Goals,Power_Play_Chances,Short_handed_Goals_Against,Penalty_Kill_Goals_Allowed,Penalty_Kill_Chances,Goals_For_Per_Game,GoalsAgainstPerGame
148,1938,NHL,BOS,Stanley_Cup,1,,48,36,10,2.0,,74,1.54,,,156,76,251,5.2,,,,,,3.25,1.58
149,1938,NHL,CHI,,0,,48,12,28,8.0,,32,0.67,,,91,132,361,7.5,,,,,,1.9,2.75
150,1938,NHL,DET,Semi-Finals,1,,48,18,24,6.0,,42,0.88,,,107,128,242,5.0,,,,,,2.23,2.67
151,1938,NHL,MTL,Quarter-Finals,1,,48,15,24,9.0,,39,0.81,,,115,146,288,6.0,,,,,,2.4,3.04
152,1938,NHL,NYA,Quarter-Finals,1,,48,17,21,10.0,,44,0.92,,,119,157,284,5.9,,,,,,2.48,3.27
153,1938,NHL,NYR,Semi-Finals,1,,48,26,16,6.0,,58,1.21,,,149,105,387,8.1,,,,,,3.1,2.19
154,1938,NHL,TOR,Finals,1,,48,19,20,9.0,,47,0.98,,,114,107,372,7.8,,,,,,2.38,2.23
155,1939,NHL,BOS,Semi-Finals,1,,48,31,12,5.0,,67,1.4,,,170,98,330,6.9,,,,,,3.54,2.04
156,1939,NHL,CHI,Quarter-Finals,1,,48,23,19,6.0,,52,1.08,,,112,120,349,7.3,,,,,,2.33,2.5
157,1939,NHL,DET,Semi-Finals,1,,48,16,26,6.0,,38,0.79,,,90,126,250,5.2,,,,,,1.88,2.62
158,1939,NHL,MTL,,0,,48,10,33,5.0,,25,0.52,,,90,167,322,6.7,,,,,,1.88,3.48
159,1939,NHL,NYA,Quarter-Finals,1,,48,15,29,4.0,,34,0.71,,,106,140,236,4.9,,,,,,2.21,2.92
160,1939,NHL,NYR,Stanley_Cup,1,,48,27,11,10.0,,64,1.33,,,136,77,510,10.6,,,,,,2.83,1.6
161,1939,NHL,TOR,Finals,1,,48,25,17,6.0,,56,1.17,,,134,110,474,9.9,,,,,,2.79,2.29
162,1940,NHL,BOS,Stanley_Cup,1,,48,27,8,13.0,,67,1.4,,,168,102,246,5.1,,,,,,3.5,2.12
163,1940,NHL,CHI,Semi-Finals,1,,48,16,25,7.0,,39,0.81,,,112,139,335,7.0,,,,,,2.33,2.9
164,1940,NHL,DET,Finals,1,,48,21,16,11.0,,53,1.1,,,112,102,337,7.0,,,,,,2.33,2.12
165,1940,NHL,MTL,Quarter-Finals,1,,48,16,26,6.0,,38,0.79,,,121,147,461,9.6,,,,,,2.52,3.06
166,1940,NHL,NYA,,0,,48,8,29,11.0,,27,0.56,,,99,186,231,4.8,,,,,,2.06,3.88
167,1940,NHL,NYR,Quarter-Finals,1,,48,21,19,8.0,,50,1.04,,,143,125,356,7.4,,,,,,2.98,2.6
168,1940,NHL,TOR,Semi-Finals,1,,48,28,14,6.0,,62,1.29,,,145,99,306,6.4,,,,,,3.02,2.06
169,1941,NHL,BKN,,0,,48,16,29,3.0,,35,0.73,,,133,175,427,8.9,,,,,,2.77,3.65
170,1941,NHL,BOS,Semi-Finals,1,,48,25,17,6.0,,56,1.17,,,160,118,339,7.1,,,,,,3.33,2.46
171,1941,NHL,CHI,Quarter-Finals,1,,48,22,23,3.0,,47,0.98,,,145,155,329,6.9,,,,,,3.02,3.23
172,1941,NHL,DET,Finals,1,,48,19,25,4.0,,42,0.88,,,140,147,440,9.2,,,,,,2.92,3.06
173,1941,NHL,MTL,Quarter-Finals,1,,48,18,27,3.0,,39,0.81,,,134,173,482,10.0,,,,,,2.79,3.6
174,1941,NHL,NYR,Semi-Finals,1,,48,29,17,2.0,,60,1.25,,,177,143,390,8.1,,,,,,3.69,2.98
175,1941,NHL,TOR,Stanley_Cup,1,,48,27,18,3.0,,57,1.19,,,158,136,341,7.1,,,,,,3.29,2.83
176,1942,NHL,BOS,Finals,1,,50,24,17,9.0,,57,1.14,,,195,176,354,7.1,,,,,,3.9,3.52
177,1942,NHL,CHI,,0,,50,17,18,15.0,,49,0.98,,,179,180,353,7.1,,,,,,3.58,3.6
178,1942,NHL,DET,Stanley_Cup,1,,50,25,14,11.0,,61,1.22,,,169,124,371,7.4,,,,,,3.38,2.48
179,1942,NHL,MTL,Semi-Finals,1,,50,19,19,12.0,,50,1.0,,,181,191,318,6.4,,,,,,3.62,3.82
180,1942,NHL,NYR,,0,,50,11,31,8.0,,30,0.6,,,161,253,352,7.0,,,,,,3.22,5.06
181,1942,NHL,TOR,Semi-Finals,1,,50,22,19,9.0,,53,1.06,,,198,159,421,8.4,,,,,,3.96,3.18
182,1943,NHL,BOS,,0,,50,19,26,5.0,,43,0.86,,,223,268,225,4.5,,,,,,4.46,5.36
183,1943,NHL,CHI,Finals,1,,50,22,23,5.0,,49,0.98,,,178,187,220,4.4,,,,,,3.56,3.74
184,1943,NHL,DET,Semi-Finals,1,,50,26,18,6.0,,58,1.16,,,214,177,356,7.1,,,,,,4.28,3.54
185,1943,NHL,MTL,Stanley_Cup,1,,50,38,5,7.0,,83,1.66,,,234,109,557,11.1,,,,,,4.68,2.18
186,1943,NHL,NYR,,0,,50,6,39,5.0,,17,0.34,,,162,310,253,5.1,,,,,,3.24,6.2
187,1943,NHL,TOR,Semi-Finals,1,,50,23,23,4.0,,50,1.0,,,214,174,293,5.9,,,,,,4.28,3.48
188,1944,NHL,BOS,Semi-Finals,1,,50,16,30,4.0,,36,0.72,,,179,219,295,5.9,,,,,,3.58,4.38
189,1944,NHL,CHI,,0,,50,13,30,7.0,,33,0.66,,,141,194,250,5.0,,,,,,2.82,3.88
190,1944,NHL,DET,Finals,1,,50,31,14,5.0,,67,1.34,,,218,161,285,5.7,,,,,,4.36,3.22
191,1944,NHL,MTL,Semi-Finals,1,,50,38,8,4.0,,80,1.6,,,228,121,426,8.5,,,,,,4.56,2.42
192,1944,NHL,NYR,,0,,50,11,29,10.0,,32,0.64,,,154,247,315,6.3,,,,,,3.08,4.94
193,1944,NHL,TOR,Stanley_Cup,1,,50,24,22,4.0,,52,1.04,,,183,161,337,6.7,,,,,,3.66,3.22
194,1945,NHL,BOS,Finals,1,,50,24,18,8.0,,56,1.12,,,167,156,273,5.5,,,,,,3.34,3.12
195,1945,NHL,CHI,Semi-Finals,1,,50,23,20,7.0,,53,1.06,,,200,178,339,6.8,,,,,,4.0,3.56
196,1945,NHL,DET,Semi-Finals,1,,50,20,20,10.0,,50,1.0,,,146,159,302,6.0,,,,,,2.92,3.18
197,1945,NHL,MTL,Stanley_Cup,1,,50,28,17,5.0,,61,1.22,,,172,134,337,6.7,,,,,,3.44,2.68
198,1945,NHL,NYR,,0,,50,13,28,9.0,,35,0.7,,,144,191,285,5.7,,,,,,2.88,3.82
199,1945,NHL,TOR,,0,,50,19,24,7.0,,45,0.9,,,174,185,247,4.9,,,,,,3.48,3.7
200,1946,NHL,BOS,Semi-Finals,1,,60,26,23,11.0,,63,1.05,,,190,175,463,7.7,,,,,,3.17,2.92
201,1946,NHL,CHI,,0,,60,19,37,4.0,,42,0.7,,,193,274,474,7.9,,,,,,3.22,4.57
202,1946,NHL,DET,Semi-Finals,1,,60,22,27,11.0,,55,0.92,,,190,193,528,8.8,,,,,,3.17,3.22
203,1946,NHL,MTL,Finals,1,,60,34,16,10.0,,78,1.3,,,189,138,561,9.4,,,,,,3.15,2.3
204,1946,NHL,NYR,,0,,60,22,32,6.0,,50,0.83,,,167,186,418,7.0,,,,,,2.78,3.1
205,1946,NHL,TOR,Stanley_Cup,1,,60,31,19,10.0,,72,1.2,,,209,172,669,11.2,,,,,,3.48,2.87
206,1947,NHL,BOS,Semi-Finals,1,,60,23,24,13.0,,59,0.98,,,167,168,515,8.6,,,,,,2.78,2.8
